country,2007,2017
at,10.588458,12.335002
be,14.203127,14.863819
bg,9.933318,11.673912
hr,4.902002,4.208742
cy,0.073476,0.132095
cz,33.981923,27.330776
dk,27.205816,15.855869
ee,4.408166,5.791745
fi,16.025319,18.067394
fr,133.549934,132.150855
de,136.35148,115.78774
gr,10.175082,7.500905
hu,10.758197,11.14717
ie,1.430869,4.86065
it,31.136592,36.666444
lv,1.801793,2.587221
lt,3.811058,1.753786
lu,0.117917,0.192198
mt,0.000788,0.030306
nl,60.228453,41.712207
pl,71.708134,64.027847
pt,4.63966,5.225053
ro,27.803526,25.475086
sk,5.794752,6.369636
si,3.449611,3.515016
es,30.1436,34.226564
se,32.881519,36.590365
gb,175.759295,118.130458
eu,862.863865,758.208861
